"Posicion","Nombre_Columna"
148,"peptidyl.tyrosine.dephosphorylation"
149,"alpha.actinin.binding"
150,"voltage.gated.potassium.channel.activity"
151,"voltage.gated.potassium.channel.complex"
152,"protein.homooligomerization"
153,"potassium.ion.transmembrane.transport"
154,"intracellular.anatomical.structure"
155,"small.GTPase.mediated.signal.transduction"
156,"protein.transport"
157,"smoothened.signaling.pathway"
158,"palmitoyltransferase.activity"
159,"protein.palmitoylation"
160,"microtubule.organizing.center"
161,"centriole.replication"
162,"de.novo.centriole.assembly.involved.in.multi.ciliated.epithelial.cell.differentiation"
163,"deuterosome"
164,"cytoskeleton"
165,"microtubule.anchoring"
166,"Rho.protein.signal.transduction"
167,"regulation.of.cell.migration"
168,"smooth.muscle.contractile.fiber"
169,"wound.healing"
170,"mitochondrial.inner.membrane"
171,"chromatin.binding"
172,"lipoprotein.lipase.activity"
173,"positive.regulation.of.transcription.by.RNA.polymerase.II"
174,"positive.regulation.of.sphingolipid.mediated.signaling.pathway"
175,"intracellular.signal.transduction"
176,"sequence.specific.DNA.binding"
177,"protein.targeting.to.peroxisome"
178,"intracellular.protein.transport"
179,"triacylglycerol.lipase.activity"
180,"lipid.catabolic.process"
181,"protein.deubiquitination"
182,"T.cell.receptor.signaling.pathway"
183,"iron.ion.binding"
184,"oxidoreductase.activity..acting.on.paired.donors..with.incorporation.or.reduction.of.molecular.oxygen"
185,"heme.binding"
186,"kinase.activity"
187,"phosphorylation"
188,"serine.type.endopeptidase.activity"
189,"intermediate.filament"
190,"structural.constituent.of.muscle"
191,"intermediate.filament.cytoskeleton.organization"
192,"signal.transduction"
193,"inflammatory.response"
194,"chemokine.activity"
195,"response.to.virus"
196,"CCR1.chemokine.receptor.binding"
197,"CCR4.chemokine.receptor.binding"
198,"CCR5.chemokine.receptor.binding"
199,"cell.chemotaxis"
200,"chemokine.mediated.signaling.pathway"
201,"nucleobase.containing.compound.metabolic.process"
202,"nucleobase.containing.compound.kinase.activity"
203,"GTPase.activator.activity"
204,"positive.regulation.of.GTPase.activity"
205,"helicase.activity"
206,"thioredoxin.disulfide.reductase..NADPH..activity"
207,"electron.transfer.activity"
208,"protein.disulfide.reductase.activity"
209,"cell.redox.homeostasis"
210,"flavin.adenine.dinucleotide.binding"
211,"cellular.oxidant.detoxification"
212,"protein.tyrosine.kinase.activity"
213,"peptidyl.tyrosine.phosphorylation"
214,"metallocarboxypeptidase.activity"
215,"oxidoreductase.activity..acting.on.a.sulfur.group.of.donors..NAD.P..as.acceptor"
216,"brush.border"
217,"muscle.contraction"
218,"regulation.of.the.force.of.skeletal.muscle.contraction"
219,"skeletal.muscle.atrophy"
220,"transition.between.fast.and.slow.fiber"
221,"response.to.denervation.involved.in.regulation.of.muscle.adaptation"
222,"positive.regulation.of.fast.twitch.skeletal.muscle.fiber.contraction"
223,"negative.regulation.of.glycolytic.process"
224,"positive.regulation.of.skeletal.muscle.tissue.growth"
225,"positive.regulation.of.skeletal.muscle.fiber.development"
226,"actin.filament.binding"
227,"bone.morphogenesis"
228,"negative.regulation.of.calcineurin.NFAT.signaling.cascade"
229,"negative.regulation.of.oxidative.phosphorylation"
230,"positive.regulation.of.bone.mineralization.involved.in.bone.maturation"
231,"negative.regulation.of.relaxation.of.muscle"
232,"regulation.of.aerobic.respiration"
233,"positive.regulation.of.glucose.catabolic.process.to.lactate.via.pyruvate"
234,"X3..5..cyclic.nucleotide.phosphodiesterase.activity"
235,"spermatogenesis"
236,"glutathione.peroxidase.activity"
237,"response.to.oxidative.stress"
238,"monoatomic.cation.channel.activity"
239,"ADP.ribose.diphosphatase.activity"
240,"monoatomic.cation.transmembrane.transport"
241,"protein.tyrosine.serine.threonine.phosphatase.activity"
242,"neural.tube.development"
243,"CERF.complex"
244,"apoptotic.process"
245,"cell.cycle"
246,"phagocytosis"
247,"regulation.of.lipid.kinase.activity"
248,"PAS.complex"
249,"phosphoacetylglucosamine.mutase.activity"
250,"carbohydrate.metabolic.process"
251,"phosphatidylinositol.phosphate.biosynthetic.process"
252,"B.cell.receptor.signaling.pathway"
253,"carbohydrate.transport"
254,"transmembrane.transporter.activity"
255,"heme.oxygenase..decyclizing..activity"
256,"heme.oxidation"
257,"troponin.complex"
258,"heat.shock.protein.binding"
259,"unfolded.protein.binding"
260,"bicellular.tight.junction"
261,"deadenylation.dependent.decapping.of.nuclear.transcribed.mRNA"
262,"retinol.metabolic.process"
263,"thyroid.hormone.binding"
264,"thyroid.hormone.transport"
265,"regulation.of.apoptotic.process"
266,"positive.regulation.of.BMP.signaling.pathway"
267,"membrane.protein.intracellular.domain.proteolysis"
268,"aspartic.endopeptidase.activity..intramembrane.cleaving"
269,"amino.acid.transmembrane.transport"
270,"amino.acid.transmembrane.transporter.activity"
271,"phosphatidylinositol.phospholipase.C.activity"
272,"brain.development"
273,"regulation.of.cell.cycle"
274,"heparan.sulfate.proteoglycan.binding"
275,"dicarboxylic.acid.transport"
276,"sodium.dicarboxylate.symporter.activity"
277,"ubiquitin.protein.transferase.activity"
278,"protein.ubiquitination"
279,"cellular.metabolic.process"
280,"extracellular.matrix.structural.constituent"
281,"collagen.trimer"
282,"cytokine.receptor.activity"
283,"cytokine.mediated.signaling.pathway"
284,"cysteine.type.deubiquitinase.activity"
285,"cysteine.type.endopeptidase.inhibitor.activity"
286,"negative.regulation.of.endopeptidase.activity"
287,"monooxygenase.activity"
288,"cAMP.dependent.protein.kinase.activity"
289,"regulation.of.Rho.protein.signal.transduction"
290,"serine.type.endopeptidase.inhibitor.activity"
291,"hyaluronan.metabolic.process"
292,"ephrin.receptor.signaling.pathway"
293,"cell.adhesion"
294,"regulation.of.synaptic.plasticity"
295,"substrate.adhesion.dependent.cell.spreading"
296,"regulation.of.dendritic.spine.morphogenesis"
297,"cilium.assembly"
298,"cullin.RING.ubiquitin.ligase.complex"
299,"ubiquitin.protein.ligase.binding"
300,"neurotransmitter.secretion"
301,"synaptic.vesicle"
302,"spindle.organization"
303,"cis.Golgi.network"
304,"iron.sulfur.cluster.binding"
305,"metalloendopeptidase.activity"
306,"extracellular.matrix"
307,"oxidoreductase.activity..acting.on.paired.donors..with.incorporation.or.reduction.of.molecular.oxygen..reduced.flavin.or.flavoprotein.as.one.donor..and.incorporation.of.one.atom.of.oxygen"
308,"protein.catabolic.process"
309,"regulation.of.cell.shape"
310,"proton.motive.force.driven.ATP.synthesis"
311,"proton.transporting.ATP.synthase.complex..catalytic.core.F.1."
312,"proton.transporting.ATP.synthase.activity..rotational.mechanism"
313,"proton.transporting.ATPase.activity..rotational.mechanism"
314,"G.protein.coupled.receptor.activity"
315,"heart.development"
316,"Roundabout.signaling.pathway"
317,"lipid.transporter.activity"
318,"transmembrane.signaling.receptor.activity"
319,"oligopeptide.transport"
320,"sensory.perception.of.sound"
321,"stereocilium"
322,"inner.ear.development"
323,"negative.regulation.of.apoptotic.process"
324,"hexosyltransferase.activity"
325,"pyrroline.5.carboxylate.reductase.activity"
326,"proline.biosynthetic.process"
327,"scavenger.receptor.activity"
328,"receptor.mediated.endocytosis"
329,"endosomal.transport"
330,"regulation.of.stress.fiber.assembly"
331,"proteasome.activator.complex"
332,"regulation.of.transcription.by.RNA.polymerase.III"
333,"histone.binding"
334,"protease.binding"
335,"extrinsic.apoptotic.signaling.pathway.via.death.domain.receptors"
336,"cysteine.type.endopeptidase.activator.activity.involved.in.apoptotic.process"
337,"identical.protein.binding"
338,"metal.ion.transport"
339,"metal.ion.transmembrane.transporter.activity"
340,"transcription.corepressor.activity"
341,"all.trans.retinol.dehydrogenase..NAD...activity"
342,"hydrolase.activity..hydrolyzing.O.glycosyl.compounds"
343,"glycosyltransferase.activity"
344,"microtubule.cytoskeleton.organization"
345,"spindle.pole"
346,"positive.regulation.of.microtubule.nucleation"
347,"MICOS.complex"
348,"ciliary.rootlet"
349,"negative.regulation.of.transcription.by.RNA.polymerase.II"
350,"cellular.developmental.process"
351,"DNA.binding.transcription.factor.activity..RNA.polymerase.II.specific"
352,"natural.killer.cell.proliferation"
353,"NK.T.cell.proliferation"
354,"innate.immune.response"
355,"catalytic.activity"
356,"aminopeptidase.activity"
357,"metallopeptidase.activity"
358,"voltage.gated.chloride.channel.activity"
359,"chloride.transport"
360,"monoatomic.ion.transmembrane.transport"
361,"regulation.of.monoatomic.anion.transmembrane.transport"
362,"cysteine.type.endopeptidase.activity"
363,"signaling.receptor.complex.adaptor.activity"
364,"hydrolase.activity..acting.on.acid.anhydrides"
365,"oxidoreductase.activity..acting.on.the.aldehyde.or.oxo.group.of.donors..NAD.or.NADP.as.acceptor"
366,"amino.acid.metabolic.process"
367,"carboxy.lyase.activity"
368,"pyridoxal.phosphate.binding"
369,"nucleoside.binding"
370,"DNA.directed.DNA.polymerase.activity"
371,"DNA.replication.initiation"
372,"X3..5..exonuclease.activity"
373,"DNA.biosynthetic.process"
374,"vesicle.docking.involved.in.exocytosis"
375,"sulfotransferase.activity"
376,"carbohydrate.biosynthetic.process"
377,"G.protein.coupled.opioid.receptor.signaling.pathway"
378,"dynorphin.receptor.activity"
379,"vesicle.mediated.transport"
380,"membrane.coat"
381,"signaling.receptor.binding"
382,"fibrinogen.complex"
383,"platelet.activation"
384,"protein.macromolecule.adaptor.activity"
385,"protein.polymerization"
386,"ligand.gated.sodium.channel.activity"
387,"sodium.ion.transmembrane.transport"
388,"signal.peptidase.complex"
389,"signal.peptide.processing"
390,"peptidase.activity"
391,"organ.induction"
392,"positive.regulation.of.endothelial.cell.proliferation"
393,"fibroblast.growth.factor.receptor.binding"
394,"negative.regulation.of.cell.population.proliferation"
395,"fibroblast.growth.factor.receptor.signaling.pathway"
396,"embryo.development.ending.in.birth.or.egg.hatching"
397,"glial.cell.differentiation"
398,"positive.regulation.of.endothelial.cell.migration"
399,"growth.factor.dependent.regulation.of.skeletal.muscle.satellite.cell.proliferation"
400,"substantia.nigra.development"
401,"positive.regulation.of.cerebellar.granule.cell.precursor.proliferation"
402,"lung.development"
403,"positive.regulation.of.osteoblast.differentiation"
404,"positive.regulation.of.angiogenesis"
405,"regulation.of.retinal.cell.programmed.cell.death"
406,"positive.regulation.of.smooth.muscle.cell.proliferation"
407,"response.to.axon.injury"
408,"stem.cell.development"
409,"positive.regulation.of.phosphatidylinositol.3.kinase.protein.kinase.B.signal.transduction"
410,"positive.regulation.of.cardiac.muscle.cell.proliferation"
411,"corticotropin.hormone.secreting.cell.differentiation"
412,"thyroid.stimulating.hormone.secreting.cell.differentiation"
413,"mammary.gland.epithelial.cell.differentiation"
414,"angiogenesis.involved.in.coronary.vascular.morphogenesis"
415,"positive.regulation.of.ERK1.and.ERK2.cascade"
416,"positive.regulation.of.canonical.Wnt.signaling.pathway"
417,"transcription.factor.binding"
418,"mRNA.export.from.nucleus"
419,"proteasome.regulatory.particle..lid.subcomplex"
420,"proteasome.assembly"
421,"single.stranded.DNA.binding"
422,"endonuclease.activity"
423,"nucleotide.excision.repair"
424,"voltage.gated.calcium.channel.activity"
425,"voltage.gated.calcium.channel.complex"
426,"calcium.ion.transmembrane.transport"
427,"protein.serine.threonine.kinase.activity"
428,"nucleotidyltransferase.activity"
429,"phosphatidylinositol.binding"
430,"frizzled.binding"
431,"Wnt.signaling.pathway"
432,"Wnt.protein.binding"
433,"corpus.callosum.development"
434,"chemorepulsion.of.dopaminergic.neuron.axon"
435,"Wnt.receptor.activity"
436,"skeletal.system.morphogenesis"
437,"negative.regulation.of.axon.extension.involved.in.axon.guidance"
438,"dopaminergic.neuron.differentiation"
439,"commissural.neuron.axon.guidance"
440,"viral.nucleocapsid"
441,"steroid.hormone.receptor.signaling.pathway"
442,"negative.regulation.of.peptidase.activity"
443,"peptidase.inhibitor.activity"
444,"glycerone.kinase.activity"
445,"glycerol.metabolic.process"
446,"proteasome.core.complex"
447,"proteolysis.involved.in.protein.catabolic.process"
448,"L.lactate.dehydrogenase.activity"
449,"carboxylic.acid.metabolic.process"
450,"multicellular.organism.development"
451,"anaphase.promoting.complex"
452,"histone.H3K27me2.H3K27me3.demethylase.activity"
453,"endoplasmic.reticulum.unfolded.protein.response"
454,"cAMP.response.element.binding"
455,"xenobiotic.metabolic.process"
456,"steroid.metabolic.process"
457,"non.membrane.spanning.protein.tyrosine.kinase.activity"
458,"spindle"
459,"nicotinate.nucleotide.diphosphorylase..carboxylating..activity"
460,"NAD.biosynthetic.process"
461,"chromatin.remodeling"
462,"uroporphyrinogen.III.synthase.activity"
463,"tetrapyrrole.biosynthetic.process"
464,"FMN.binding"
465,"ciliary.basal.body"
466,"fat.cell.differentiation"
467,"cardiac.muscle.cell.differentiation"
468,"negative.regulation.of.canonical.Wnt.signaling.pathway"
469,"steroid.binding"
470,"androgen.receptor.signaling.pathway"
471,"pinocytosis"
472,"SUMO.transferase.activity"
473,"regulation.of.monoatomic.ion.transmembrane.transport"
474,"phospholipid.binding"
475,"spectrin"
476,"ATP.dependent.diacylglycerol.kinase.activity"
477,"calcium.channel.activity"
478,"Golgi.membrane"
479,"protein.glycosylation"
480,"carbohydrate.binding"
481,"structural.constituent.of.tooth.enamel"
482,"odontogenesis.of.dentin.containing.tooth"
483,"phosphatidylinositol.mediated.signaling"
484,"calcium.activated.potassium.channel.activity"
485,"cysteine.type.peptidase.activity"
486,"cytoskeleton.organization"
487,"circadian.regulation.of.gene.expression"
488,"S.adenosylmethionine.dependent.methyltransferase.activity"
489,"methylation"
490,"isoprenoid.biosynthetic.process"
491,"meiotic.spindle"
492,"formation.of.translation.preinitiation.complex"
493,"translation.initiation.factor.activity"
494,"eukaryotic.translation.initiation.factor.3.complex"
495,"regulation.of.translational.initiation"
496,"eukaryotic.43S.preinitiation.complex"
497,"eukaryotic.48S.preinitiation.complex"
498,"ribosome.binding"
499,"acyl.CoA.dehydrogenase.activity"
500,"arsenite.methyltransferase.activity"
501,"regulation.of.signal.transduction"
502,"omega.peptidase.activity"
503,"transcription.regulator.complex"
504,"GDP.dissociation.inhibitor.activity"
505,"regulation.of.G.protein.coupled.receptor.signaling.pathway"
506,"regulation.of.catalytic.activity"
507,"DNA.damage.response"
508,"cell.differentiation"
509,"negative.regulation.of.mast.cell.activation"
510,"mast.cell.granule"
511,"mast.cell.degranulation"
512,"mitochondrial.envelope"
513,"positive.regulation.of.apoptotic.process"
514,"carbohydrate.proton.symporter.activity"
515,"regulation.of.cell.growth"
516,"insulin.like.growth.factor.binding"
517,"formate.tetrahydrofolate.ligase.activity"
518,"methylenetetrahydrofolate.dehydrogenase..NADP...activity"
519,"folic.acid.containing.compound.biosynthetic.process"
520,"methyltransferase.activity"
521,"DNA.directed.5..3..RNA.polymerase.activity"
522,"positive.regulation.of.NF.kappaB.transcription.factor.activity"
523,"NF.kappaB.complex"
524,"serine.type.carboxypeptidase.activity"
525,"structural.molecule.activity"
526,"protein.kinase.binding"
527,"clathrin.coat.of.trans.Golgi.network.vesicle"
528,"clathrin.coat.of.coated.pit"
529,"proton.transmembrane.transport"
530,"replication.fork"
531,"nuclear.matrix"
532,"cytoplasmic.vesicle"
533,"response.to.peptide.hormone"
534,"hemi.methylated.DNA.binding"
535,"protein.autoubiquitination"
536,"ubiquitin.protein.ligase.activity"
537,"protein.glutamine.gamma.glutamyltransferase.activity"
538,"peptide.cross.linking"
539,"transport.vesicle"
540,"phosphatidylinositol.dephosphorylation"
541,"lipopolysaccharide.metabolic.process"
542,"acyloxyacyl.hydrolase.activity"
543,"negative.regulation.of.inflammatory.response"
544,"hematopoietic.progenitor.cell.differentiation"
545,"nucleoside.diphosphate.kinase.activity"
546,"GTP.biosynthetic.process"
547,"UTP.biosynthetic.process"
548,"CTP.biosynthetic.process"
549,"guanyl.nucleotide.exchange.factor.activity"
550,"thyroxine.5..deiodinase.activity"
551,"hormone.biosynthetic.process"
552,"DNA.replication"
553,"mitochondrial.pyruvate.transmembrane.transport"
554,"guanyl.nucleotide.binding"
555,"G.protein.beta.gamma.subunit.complex.binding"
556,"regulation.of.mitotic.cell.cycle"
557,"midbody"
558,"cytokine.receptor.binding"
559,"transforming.growth.factor.beta.receptor.binding"
560,"cell.growth"
561,"dipeptidase.activity"
562,"leukotriene.production.involved.in.inflammatory.response"
563,"positive.regulation.of.acute.inflammatory.response"
564,"arachidonate.5.lipoxygenase.activity"
565,"nuclear.envelope"
566,"endoplasmic.reticulum"
567,"leukotriene.biosynthetic.process"
568,"lipoxygenase.pathway"
569,"enzyme.binding"
570,"protein.homodimerization.activity"
571,"protein.homotrimerization"
572,"acid.phosphatase.activity"
573,"dephosphorylation"
574,"X3.hydroxyacyl.CoA.dehydrogenase.activity"
575,"fatty.acid.metabolic.process"
576,"fatty.acid.binding"
577,"phosphatidic.acid.biosynthetic.process"
578,"lysophosphatidic.acid.acyltransferase.activity"
579,"autophagic.cell.death"
580,"X.de.novo..post.translational.protein.folding"
581,"negative.regulation.of.intrinsic.apoptotic.signaling.pathway.by.p53.class.mediator"
582,"positive.regulation.of.intrinsic.apoptotic.signaling.pathway.by.p53.class.mediator"
583,"protein.localization.to.vacuolar.membrane"
584,"positive.regulation.of.autophagosome.assembly"
585,"DNA.repair"
586,"Fanconi.anaemia.nuclear.complex"
587,"phospholipid.biosynthetic.process"
588,"phosphotransferase.activity..for.other.substituted.phosphate.groups"
589,"ATPase.coupled.transmembrane.transporter.activity"
590,"proteasome.complex"
591,"enzyme.regulator.activity"
592,"regulation.of.protein.catabolic.process"
593,"actin.polymerization.or.depolymerization"
594,"actin.cytoskeleton"
595,"vacuolar.transport"
596,"synaptic.vesicle.membrane"
597,"defense.response.to.virus"
598,"collagen.fibril.organization"
599,"acyltransferase.activity"
600,"RNA.polymerase.II..core.complex"
601,"transcription.by.RNA.polymerase.II"
602,"response.to.organic.cyclic.compound"
603,"cellular.response.to.oxygen.levels"
604,"DNA.templated.DNA.replication"
605,"delta.DNA.polymerase.complex"
606,"non.canonical.NF.kappaB.signal.transduction"
607,"ribonuclease.T2.activity"
608,"double.strand.break.repair.via.homologous.recombination"
609,"Smc5.Smc6.complex"
610,"Golgi.apparatus"
611,"sialyltransferase.activity"
612,"sialylation"
613,"regulation.of.ARF.protein.signal.transduction"
614,"endoplasmic.reticulum.to.Golgi.vesicle.mediated.transport"
615,"TRAPP.complex"
616,"GMP.reductase.activity"
617,"purine.nucleobase.metabolic.process"
618,"purine.nucleotide.metabolic.process"
619,"GMP.reductase.complex"
620,"kidney.development"
621,"axolemma"
622,"DNA.templated.transcription.initiation"
623,"epidermis.development"
624,"sulfuric.ester.hydrolase.activity"
625,"endoplasmic.reticulum.membrane"
626,"GPI.anchor.biosynthetic.process"
627,"tricarboxylic.acid.cycle"
628,"succinate.dehydrogenase..quinone..activity"
629,"X2.iron..2.sulfur.cluster.binding"
630,"X3.iron..4.sulfur.cluster.binding"
631,"X4.iron..4.sulfur.cluster.binding"
632,"AMPA.glutamate.receptor.complex"
633,"neuron.projection.extension"
634,"SRP.dependent.cotranslational.protein.targeting.to.membrane"
635,"X7S.RNA.binding"
636,"signal.recognition.particle"
637,"aminoacyl.tRNA.ligase.activity"
638,"tRNA.aminoacylation.for.protein.translation"
639,"epithelial.cilium.movement.involved.in.extracellular.fluid.movement"
640,"determination.of.left.right.symmetry"
641,"phosphatase.activity"
642,"folic.acid.binding"
643,"folic.acid.transmembrane.transporter.activity"
644,"folic.acid.transport"
645,"galactosylceramidase.activity"
646,"galactosylceramide.catabolic.process"
647,"Notch.signaling.pathway"
648,"postsynaptic.density"
649,"artery.smooth.muscle.contraction"
650,"dendritic.shaft"
651,"postsynaptic.membrane"
652,"positive.regulation.of.blood.pressure"
653,"antigen.processing.and.presentation.of.peptide.or.polysaccharide.antigen.via.MHC.class.II"
654,"MHC.class.II.protein.complex"
655,"establishment.of.planar.polarity"
656,"cell.matrix.adhesion"
657,"integrin.mediated.signaling.pathway"
658,"integrin.complex"
659,"hydrolase.activity..acting.on.carbon.nitrogen..but.not.peptide..bonds..in.cyclic.amidines"
660,"regulation.of.cell.adhesion"
661,"regulation.of.embryonic.development"
662,"sensory.perception"
663,"photoreceptor.cell.maintenance"
664,"regulation.of.pH"
665,"sodium.proton.antiporter.activity"
666,"ammonium.channel.activity"
667,"ammonium.transmembrane.transport"
668,"cell.migration"
669,"regulation.of.actin.cytoskeleton.organization"
670,"protein.repair"
671,"peptide.methionine..R..S.oxide.reductase.activity"
672,"double.stranded.methylated.DNA.binding"
673,"histone.deacetylase.binding"
674,"cytosolic.large.ribosomal.subunit"
675,"CCAAT.binding.factor.complex"
676,"retinal.rod.cell.development"
677,"negative.regulation.of.retinal.cell.programmed.cell.death"
678,"post.embryonic.eye.morphogenesis"
679,"response.to.heat"
680,"hydro.lyase.activity"
681,"snRNA.processing"
682,"integrator.complex"
683,"actin.filament"
684,"AP.3.adaptor.complex"
685,"CORVET.complex"
686,"glutathione.transferase.activity"
687,"plasma.membrane.organization"
688,"lipid.binding"
689,"nuclear.steroid.receptor.activity"
690,"sphingosine.1.phosphate.receptor.signaling.pathway"
691,"sphingosine.1.phosphate.receptor.activity"
692,"positive.regulation.of.DNA.templated.transcription"
693,"protein.insertion.into.ER.membrane"
694,"galactosylgalactosylxylosylprotein.3.beta.glucuronosyltransferase.activity"
695,"nuclear.receptor.activity"
696,"intracellular.receptor.signaling.pathway"
697,"fructose.bisphosphate.aldolase.activity"
698,"glycolytic.process"
699,"nuclease.activity"
700,"autophagy"
701,"ubiquitin.binding"
702,"copper.ion.binding"
703,"primary.methylamine.oxidase.activity"
704,"amine.metabolic.process"
705,"quinone.binding"
706,"pseudouridine.synthesis"
707,"tRNA.processing"
708,"pseudouridine.synthase.activity"
709,"galactosyltransferase.activity"
710,"clathrin.adaptor.complex"
711,"phosphoprotein.phosphatase.activity"
712,"protein.dephosphorylation"
713,"endoplasmic.reticulum.organization"
714,"neurotransmitter.sodium.symporter.activity"
715,"taurine.sodium.symporter.activity"
716,"neurotransmitter.transport"
717,"taurine.transmembrane.transport"
718,"taurine.binding"
719,"organic.acid.transmembrane.transport"
720,"regulation.of.small.GTPase.mediated.signal.transduction"
721,"cilium.movement"
722,"transcription.factor.TFIIH.core.complex"
723,"ABC.type.peptide.transporter.activity"
724,"peptide.transport"
725,"antigen.processing.and.presentation.of.endogenous.peptide.antigen.via.MHC.class.I"
726,"MHC.protein.binding"
727,"TAP.complex"
728,"neurofilament"
729,"glucuronosyltransferase.activity"
730,"sarcoglycan.complex"
731,"regulation.of.cytokine.mediated.signaling.pathway"
732,"response.to.molecule.of.bacterial.origin"
733,"pre.B.cell.differentiation"
734,"leukocyte.migration.involved.in.inflammatory.response"
735,"positive.regulation.of.T.cell.mediated.immune.response.to.tumor.cell"
736,"positive.regulation.of.inflammatory.response.to.antigenic.stimulus"
737,"positive.regulation.of.B.cell.apoptotic.process"
